date,MACD_Signal,MACD,MACD_Hist,RSI,Real Lower Band,Real Middle Band,Real Upper Band,4. close,Y,X,Buy/Sell
2011-04-15,-2.7819,-4.0374,-1.2555,39.7369,326.6383,340.4884,354.3384,327.46,10861.41206,2.046218157, 
2011-04-14,-2.468,-3.5032,-1.0352,42.7523,327.3428,340.6489,353.955,332.42,10861.02555,1.659714125, 
2011-04-13,-2.2092,-3.2753,-1.0661,45.189,327.6954,340.7599,353.8244,336.13,10860.74454,1.378704313, 
2011-04-12,-1.9427,-3.3146,-1.3719,42.0334,326.7013,340.4539,354.2064,332.4,10861.07651,1.71066793, 
2011-04-11,-1.5997,-2.9367,-1.337,40.6408,327.7108,341.1054,354.4999,330.8,10861.16311,1.797273974, 
2011-04-08,-1.2655,-2.2488,-0.9833,43.2702,328.6781,342.2434,355.8087,335.06,10860.79211,1.42627379, 
2011-04-07,-1.0197,-1.7718,-0.7521,45.2415,329.312,343.0899,356.8677,338.08,10860.51979,1.153956271, 
2011-04-06,-0.8316,-1.4447,-0.6131,45.2101,329.8579,343.5194,357.1808,338.04,10860.47402,1.108181762, 
2011-04-05,-0.6784,-1.0021,-0.3238,45.7397,330.292,344.2409,358.1898,338.89,10860.35313,0.987292723, 
2011-04-04,-0.5974,-0.5092,0.0882,47.1599,330.5057,345.0844,359.663,341.19,10860.13337,0.767528279, 
2011-04-01,-0.6195,-0.1068,0.5127,49.2901,330.6729,345.7929,360.9128,344.56,10859.85422,0.488384559, 
2011-03-31,-0.7477,0.0653,0.8129,51.8988,330.2464,346.5649,362.8834,348.5075,10859.56115,0.195315671, 
2011-03-30,-0.9509,-0.1181,0.8328,51.9799,329.8521,347.1175,364.3829,348.63,10859.57949,0.21364655, 
2011-03-29,-1.1591,-0.3628,0.7963,53.4904,329.899,347.292,364.685,350.96,10859.46121,0.095372242, 
2011-03-28,-1.3582,-0.9071,0.4511,53.2021,329.8713,347.2095,364.5477,350.44,10859.5723,0.206466191, 
2011-03-25,-1.4709,-1.5357,-0.0648,53.8732,329.8651,347.348,364.8309,351.54,10859.59962,0.233783082, 
